5,2,-0,-3,-6,-9,-12,-16,-19,-24,-28,-33,-39,-47,-58,-75
2,4,3,1,-1,-3,-5,-8,-11,-14,-17,-22,-27,-33,-43,-58
-0,3,3,2,1,-0,-2,-4,-6,-8,-11,-15,-19,-25,-33,-47
-3,1,2,3,2,1,0,-1,-3,-5,-7,-11,-14,-19,-27,-39
-6,-1,1,2,2,2,1,0,-1,-3,-5,-7,-11,-15,-22,-33
-9,-3,-0,1,2,2,2,1,0,-1,-2,-5,-7,-11,-17,-28
-12,-5,-2,0,1,2,2,2,1,0,-1,-3,-5,-8,-14,-24
-16,-8,-4,-1,0,1,2,2,2,1,0,-1,-3,-6,-11,-19
-19,-11,-6,-3,-1,0,1,2,2,2,1,0,-1,-4,-8,-16
-24,-14,-8,-5,-3,-1,0,1,2,2,2,1,0,-2,-5,-12
-28,-17,-11,-7,-5,-2,-1,0,1,2,2,2,1,-0,-3,-9
-33,-22,-15,-11,-7,-5,-3,-1,0,1,2,2,2,1,-1,-6
-39,-27,-19,-14,-11,-7,-5,-3,-1,0,1,2,3,2,1,-3
-47,-33,-25,-19,-15,-11,-8,-6,-4,-2,-0,1,2,3,3,-0
-58,-43,-33,-27,-22,-17,-14,-11,-8,-5,-3,-1,1,3,4,2
-75,-58,-47,-39,-33,-28,-24,-19,-16,-12,-9,-6,-3,-0,2,5
