5,2,-2,-8,-13,-19,-25,-32,-39,-47,-56,-66,-78,-93,-114,-148
2,4,3,0,-3,-7,-12,-17,-22,-28,-35,-44,-54,-67,-84,-114
-2,3,4,3,1,-2,-5,-9,-13,-18,-24,-31,-40,-51,-67,-93
-8,0,3,3,3,1,-1,-4,-7,-11,-16,-22,-30,-40,-54,-78
-13,-3,1,3,3,2,1,-1,-3,-6,-11,-16,-22,-31,-44,-66
-19,-7,-2,1,2,3,2,1,-0,-3,-6,-11,-16,-24,-35,-56
-25,-12,-5,-1,1,2,3,2,1,-0,-3,-6,-11,-18,-28,-47
-32,-17,-9,-4,-1,1,2,3,2,1,-0,-3,-7,-13,-22,-39
-39,-22,-13,-7,-3,-0,1,2,3,2,1,-1,-4,-9,-17,-32
-47,-28,-18,-11,-6,-3,-0,1,2,3,2,1,-1,-5,-12,-25
-56,-35,-24,-16,-11,-6,-3,-0,1,2,3,2,1,-2,-7,-19
-66,-44,-31,-22,-16,-11,-6,-3,-1,1,2,3,3,1,-3,-13
-78,-54,-40,-30,-22,-16,-11,-7,-4,-1,1,3,3,3,0,-8
-93,-67,-51,-40,-31,-24,-18,-13,-9,-5,-2,1,3,4,3,-2
-114,-84,-67,-54,-44,-35,-28,-22,-17,-12,-7,-3,0,3,4,2
-148,-114,-93,-78,-66,-56,-47,-39,-32,-25,-19,-13,-8,-2,2,5
